review_id,target_institution_id,target_programme_id,target_institution,target_programme,target_url,country,degree_level,discipline,field_name,resolution_level,final_value,target_scope,donor_institution,donor_programme,donor_value,donor_scope,provider,source_url,evidence_text,raw_document_id,support_count,combined_uncertainty,compatibility_reason
HQA-05170,discover-uk-stage1-008,95d3bbf1-7e5d-5412-96b3-c6022bd8b35a,Barking and Dagenham College,Computing For England (General) (Barking and Dagenham),https://discoveruni.gov.uk/en/course-details/10000528/K0677/Full-time/,UK,bachelor,computer science,credential,H3,HND,programme,Barking and Dagenham College,Computing for England (Cyber Security) (Barking and Dagenham),HND,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10000528/K0678/Full-time/,Back HND Computing for England (Cyber Security) (Barking and Dagenham),5ed331fa-f2d1-46ee-b95e-8a3dfa0b6502,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-05207,onisep-fr-stage1-029,96c509ad-7afb-5c33-a47f-b49db274ca43,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention sciences et humanités,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv?target=0062226M-AF.100098,FR,bachelor,other,programme_identity,H3,licence mention humanités,programme,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention humanités,licence mention humanités,programme,onisep_higher_ed,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Formation label: licence mention humanités [source column Formation (FOR) libellé],f845f53e-c861-4177-ab51-1eb96509023c,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-05208,onisep-fr-stage1-029,96c509ad-7afb-5c33-a47f-b49db274ca43,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention sciences et humanités,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv?target=0062226M-AF.100098,FR,bachelor,other,credential,H3,licence,programme,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention humanités,licence,programme,onisep_higher_ed,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: licence [source column FOR type],f845f53e-c861-4177-ab51-1eb96509023c,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-05213,onisep-fr-stage1-029,96c509ad-7afb-5c33-a47f-b49db274ca43,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention sciences et humanités,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv?target=0062226M-AF.100098,FR,bachelor,other,duration,H3,1 an,programme,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention humanités,1 an,programme,onisep_higher_ed,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Standard cycle duration: 1 an [source column AF durée cycle standard],f845f53e-c861-4177-ab51-1eb96509023c,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-05214,onisep-fr-stage1-029,96c509ad-7afb-5c33-a47f-b49db274ca43,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention sciences et humanités,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv?target=0062226M-AF.100098,FR,bachelor,other,location,H3,Cannes,programme,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention humanités,Cannes,programme,onisep_higher_ed,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Teaching location: Cannes [source column ENS commune],f845f53e-c861-4177-ab51-1eb96509023c,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-05215,onisep-fr-stage1-029,96c509ad-7afb-5c33-a47f-b49db274ca43,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention sciences et humanités,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv?target=0062226M-AF.100098,FR,bachelor,other,delivery_mode,H3,"temps plein, cours en présentiel",programme,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention humanités,"temps plein, cours en présentiel",programme,onisep_higher_ed,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,"Study modality: temps plein, cours en présentiel [source column AF modalités scolarité]",f845f53e-c861-4177-ab51-1eb96509023c,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-05511,edinburgh-uk-canary,9e56967c-c215-5e0b-ba38-018d61a6a991,The University of Edinburgh,Computer Science,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBSCH/Full-time/,UK,bachelor,computer science,programme_identity,H3,Computer Science,programme,The University of Edinburgh,Computer Science,Computer Science,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBENGH/Full-time/,Computer Science at University of Edinburgh | Discover Uni Course Details,70f4f8ad-d1ff-45f5-88f0-02dc7ddc0d3f,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-05512,edinburgh-uk-canary,9e56967c-c215-5e0b-ba38-018d61a6a991,The University of Edinburgh,Computer Science,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBSCH/Full-time/,UK,bachelor,computer science,credential,H3,BEng (Hons),programme,The University of Edinburgh,Computer Science,BEng (Hons),programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBENGH/Full-time/,BEng (Hons) Computer Science,70f4f8ad-d1ff-45f5-88f0-02dc7ddc0d3f,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-05517,edinburgh-uk-canary,9e56967c-c215-5e0b-ba38-018d61a6a991,The University of Edinburgh,Computer Science,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBSCH/Full-time/,UK,bachelor,computer science,duration,H3,4 year course,programme,The University of Edinburgh,Computer Science,4 year course,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBENGH/Full-time/,Length 4 year course,70f4f8ad-d1ff-45f5-88f0-02dc7ddc0d3f,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-05518,edinburgh-uk-canary,9e56967c-c215-5e0b-ba38-018d61a6a991,The University of Edinburgh,Computer Science,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBSCH/Full-time/,UK,bachelor,computer science,location,H3,Central,programme,The University of Edinburgh,Computer Science,Central,programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10007790/UTCMPSIBENGH/Full-time/,Location : Central,70f4f8ad-d1ff-45f5-88f0-02dc7ddc0d3f,1,0.3403,HIERARCHICAL_DONOR_SELECTED
