review_id,institution_name,programme_name,country,degree_level,field_name,extracted_value,value_scope,provider,source_url,evidence_text,system_status,system_confidence_or_reason,review_verdict,review_comment,reviewer,reviewed_at,critical_error
QA-0030,Institut national des sciences appliquees de Lyon,Bachelor en sciences et ingenierie - genie energetique et environnement,France,Bachelor,delivery_mode,"temps plein, cours en présentiel (1re année)",programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,"Study modality: temps plein, cours en présentiel (1re année) [source column AF modalités scolarité]",ACCEPTED,accepted deterministic catalogue metadata; source column=AF modalités scolarité; exact programme context,,,,,
QA-0031,Institut national des sciences appliquees de Lyon,Master mention IA - intelligence artificielle,France,Master,programme_identity,master mention IA - intelligence artificielle,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Formation label: master mention IA - intelligence artificielle [source column Formation (FOR) libellé],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0032,Institut national des sciences appliquees de Lyon,Master mention IA - intelligence artificielle,France,Master,credential,master,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: master [source column FOR type],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0033,Institut national des sciences appliquees de Lyon,Master mention IA - intelligence artificielle,France,Master,tuition,"EUR 10,000 / year (credential=master)",programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Tuition (schooling cost) (fee credential category=master [source column FOR type]): 10000 euros par an [source column AF coût scolarité],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0034,Institut national supérieur du professorat et de l'éducation - site de Digne-les-Bains,licence mention professorat des écoles,France,Bachelor,programme_identity,licence mention professorat des écoles,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Formation label: licence mention professorat des écoles [source column Formation (FOR) libellé],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0035,Institut national supérieur du professorat et de l'éducation - site de Digne-les-Bains,licence mention professorat des écoles,France,Bachelor,credential,licence,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: licence [source column FOR type],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0036,Institut national supérieur du professorat et de l'éducation - site de Digne-les-Bains,licence mention professorat des écoles,France,Bachelor,duration,3 ans,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Standard cycle duration: 3 ans [source column AF durée cycle standard],ACCEPTED,accepted deterministic catalogue metadata; source column=AF durée cycle standard; exact programme context,,,,,
QA-0037,Institut national supérieur du professorat et de l'éducation - site de l'Ain,licence mention professorat des écoles,France,Bachelor,programme_identity,licence mention professorat des écoles,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Formation label: licence mention professorat des écoles [source column Formation (FOR) libellé],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0038,Institut national supérieur du professorat et de l'éducation - site de l'Ain,licence mention professorat des écoles,France,Bachelor,credential,licence,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Qualification type: licence [source column FOR type],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
QA-0039,Institut national supérieur du professorat et de l'éducation - site de l'Ain,licence mention professorat des écoles,France,Bachelor,duration,3 ans,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Standard cycle duration: 3 ans [source column AF durée cycle standard],ACCEPTED,accepted deterministic catalogue metadata; source column=AF durée cycle standard; exact programme context,,,,,
QA-0040,"Institut national supérieur du professorat et de l'éducation Célestin Freinet - site de Nice, Stephen Liégeard",licence mention professorat des écoles,France,Bachelor,programme_identity,licence mention professorat des écoles,programme,Onisep Idéo,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,Formation label: licence mention professorat des écoles [source column Formation (FOR) libellé],ACCEPTED,accepted; exact external evidence; pipeline confidence=0.90,,,,,
