review_id,target_institution_id,target_programme_id,target_institution,target_programme,target_url,country,degree_level,discipline,field_name,resolution_level,final_value,target_scope,donor_institution,donor_programme,donor_value,donor_scope,provider,source_url,evidence_text,raw_document_id,support_count,combined_uncertainty,compatibility_reason
HQA-02323,scorecard-us-stage1-026,23b333c1-8505-5a89-af1a-a588e5894701,University of Hawaii at Manoa,University of Hawaii at Manoa Engineering,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip?target=scorecard-us-stage1-026-b,US,bachelor,engineering,tuition,H2,USD 34218 / annual (international),institution,University of Hawaii at Manoa,,USD 34218 / annual (international),institution,college_scorecard_bulk,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip,Annual tuition and fees for out-of-state students: 34218 [source column TUITIONFEE_OUT] (currency=USD; basis=annual; audience=international),e06484d6-e475-4870-ba00-f9d682ac8b22,1,0.3087,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
HQA-02437,scorecard-us-stage1-050,260a70ab-598d-5e73-a90c-f0f3f8798deb,University of New Mexico-Main Campus,University of New Mexico-Main Campus Engineering,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip?target=scorecard-us-stage1-050-b,US,bachelor,engineering,tuition,H2,USD 24499 / annual (international),institution,University of New Mexico-Main Campus,,USD 24499 / annual (international),institution,college_scorecard_bulk,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip,Annual tuition and fees for out-of-state students: 24499 [source column TUITIONFEE_OUT] (currency=USD; basis=annual; audience=international),f3363a99-29f3-401a-9010-6869d4d863c7,1,0.3087,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
HQA-02513,eth-zurich-ch-canary,287d21b6-9988-5ab2-8760-73790ce41946,ETH Zurich,ETH Zurich Data Science,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities?target=eth-zurich-ch-canary-a,CH,master,data science,tuition,H2,CHF 2190 / per semester (international),institution,ETH Zurich,,CHF 2190 / per semester (international),institution,swissuniversities_tuition,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities,Foreign tuition: 2190 [literal matched-row value] (credential=Foreign tuition; currency=CHF; basis=per semester; audience=international; cycle=2026-2027),c86c0b8d-1303-47ff-942e-a4807ac121be,1,0.2907,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
HQA-02514,eth-zurich-ch-canary,287d21b6-9988-5ab2-8760-73790ce41946,ETH Zurich,ETH Zurich Data Science,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities?target=eth-zurich-ch-canary-a,CH,master,data science,additional_fees,H2,CHF 74 / per semester,institution,ETH Zurich,,CHF 74 / per semester,institution,swissuniversities_tuition,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities,Other compulsory fees: 74 [literal matched-row value] (currency=CHF; basis=per semester; audience=all; cycle=2026-2027),c86c0b8d-1303-47ff-942e-a4807ac121be,1,0.2907,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
HQA-02551,scorecard-us-stage1-034,289ac7af-67d4-551c-afd2-e9801d14fd31,University of Kansas,University of Kansas Engineering,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip?target=scorecard-us-stage1-034-b,US,bachelor,engineering,tuition,H2,USD 28034 / annual (international),institution,University of Kansas,,USD 28034 / annual (international),institution,college_scorecard_bulk,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip,Annual tuition and fees for out-of-state students: 28034 [source column TUITIONFEE_OUT] (currency=USD; basis=annual; audience=international),a584809b-7965-49da-a0c4-771a6f9d6d63,1,0.3087,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
HQA-02627,scorecard-us-stage1-041,29340572-1f42-521e-ae17-360aea50d942,University of Minnesota-Twin Cities,University of Minnesota-Twin Cities Engineering,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip?target=scorecard-us-stage1-041-b,US,bachelor,engineering,tuition,H2,USD 33325 / annual (international),institution,University of Minnesota-Twin Cities,,USD 33325 / annual (international),institution,college_scorecard_bulk,https://ed-public-download.scorecard.network/downloads/Most-Recent-Cohorts-Institution.zip,Annual tuition and fees for out-of-state students: 33325 [source column TUITIONFEE_OUT] (currency=USD; basis=annual; audience=international),10d0c78c-2934-4d69-a4f9-b38293d24a0d,1,0.3087,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
HQA-02861,discover-uk-stage1-018,2b10d957-eb9b-5583-b2bb-fc1c741a300b,Bournemouth University,Accounting,https://discoveruni.gov.uk/en/course-details/10000824/BAACS_N423/Full-time/,UK,bachelor,other,career_outcomes,H3,"{""data_period"": ""students graduating 2021-23"", ""measure"": ""graduates find their current work meaningful"", ""note"": ""data displayed is from students on this and other courses in Finance"", ""outcome_period"": ""15 months after graduation"", ""percentage"": 80}",programme,Bournemouth University,Accounting and Finance,"{""data_period"": ""students graduating 2021-23"", ""measure"": ""graduates find their current work meaningful"", ""note"": ""data displayed is from students on this and other courses in Finance"", ""outcome_period"": ""15 months after graduation"", ""percentage"": 80}",programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10000824/BAAFS_N420/Full-time/,80% of graduates find their current work meaningful,1a40bedf-576c-4132-a997-02f5bf4e60a9,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-02862,discover-uk-stage1-018,2b10d957-eb9b-5583-b2bb-fc1c741a300b,Bournemouth University,Accounting,https://discoveruni.gov.uk/en/course-details/10000824/BAACS_N423/Full-time/,UK,bachelor,other,employment_outcomes,H3,"{""audience"": null, ""data_period"": ""students graduating 2021-23"", ""occupation"": ""Managers, directors and senior officials"", ""outcome_period"": ""15 months after the course"", ""percentage"": 5}",programme,Bournemouth University,Accounting and Finance,"{""audience"": null, ""data_period"": ""students graduating 2021-23"", ""occupation"": ""Managers, directors and senior officials"", ""outcome_period"": ""15 months after the course"", ""percentage"": 5}",programme,discover_uni_hesa,https://discoveruni.gov.uk/course-details/10000824/BAAFS_N420/Full-time/,"5% Managers, directors and senior officials",1a40bedf-576c-4132-a997-02f5bf4e60a9,1,0.3403,HIERARCHICAL_DONOR_SELECTED
HQA-02893,bern-ch-canary,2b6b45e5-a934-5676-ab10-f02491fef076,University of Bern,University of Bern Engineering,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities?target=bern-ch-canary-b,CH,bachelor,engineering,tuition,H2,CHF 850 / per semester (international),institution,University of Bern,,CHF 850 / per semester (international),institution,swissuniversities_tuition,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities,Foreign tuition: 850 [literal matched-row value] (credential=Foreign tuition; currency=CHF; basis=per semester; audience=international; cycle=2026-2027),83163a99-30f5-49c3-83dc-60e3417454de,1,0.2907,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
HQA-02894,bern-ch-canary,2b6b45e5-a934-5676-ab10-f02491fef076,University of Bern,University of Bern Engineering,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities?target=bern-ch-canary-b,CH,bachelor,engineering,additional_fees,H2,CHF 2550 / per semester,institution,University of Bern,,CHF 2550 / per semester,institution,swissuniversities_tuition,https://www.swissuniversities.ch/en/themen/lehre-studium/information-on-studies/tuition-fees/tuition-fees-at-universities,Other compulsory fees: 2550 [literal matched-row value] (currency=CHF; basis=per semester; audience=all; cycle=2026-2027),83163a99-30f5-49c3-83dc-60e3417454de,1,0.2907,HIERARCHICAL_DONOR_SELECTED; institution-scoped finance context preserved (not programme tuition)
