programme_id,institution_id,institution_name,programme_name,country,degree_level,discipline,total_priority_fields,direct_field_count,hierarchical_added_field_count,effective_field_count,review_field_count,missing_field_count,completion_before_hierarchy_pct,completion_after_hierarchy_pct
43850490-0520-5cca-b9a2-0b1b84156049,discover-uk-stage1-011,University College Birmingham,Airport And Aviation Management,UK,bachelor,business,38,5,2,7,0,31,13.16,18.42
43c28e04-5ff2-5419-8fa5-18e4ba61a1b6,scorecard-us-stage1-022,University of Georgia,University of Georgia Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
43c2c4e5-8f87-510b-a553-d19a5e3b88aa,scorecard-us-stage1-010,California State University-Northridge,California State University-Northridge Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
440c84ff-e22a-5b08-94ee-59d806093e80,duo-nl-stage1-001,Het College van Bestuur van de Vrije Universiteit,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
4461db80-bfa6-50b9-bd31-54a5aef42391,scorecard-us-stage1-054,University of Oklahoma-Norman Campus,University of Oklahoma-Norman Campus Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
45389133-b30b-5620-a1f1-132881ea6575,bristol-uk-canary,University of Bristol,Data Science,UK,bachelor,data science,38,3,4,7,0,31,7.89,18.42
45d0488c-fd77-5761-bf4b-e68dc9328b6f,oxford-uk-canary,Oxford University,Computer Science (3 or 4 years),UK,bachelor,computer science,38,5,0,5,2,31,13.16,13.16
46297f53-803b-50c9-96b5-fd9203694be5,scorecard-us-stage1-056,The Pennsylvania State University,The Pennsylvania State University Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
465d4536-96e4-5b55-8c3e-80a1e8013b76,discover-uk-stage1-007,Askham Bryan College,Equine Science and Management (including Foundation year),UK,bachelor,business,38,6,0,6,1,31,15.79,15.79
469ccfd4-f1c1-515d-a48b-8e808fa8a871,duo-nl-stage1-011,Stichting Aeres Groep,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
476bdac3-3e96-5a15-a3c1-290de30aeb81,lucerne-ch-stage1,University of Lucerne,University of Lucerne Data Science,CH,master,data science,38,0,0,0,0,38,0.0,0.0
49412a9b-8bd2-5754-979e-aacdc24e93ad,ens-paris-saclay-fr-canary,Ecole normale superieure Paris-Saclay,Master mention biologie-sante,FR,master,other,38,5,0,5,0,33,13.16,13.16
49ca4019-1bf2-5b5c-983d-1c96b71efea6,onisep-fr-stage1-026,"Institut national supérieur du professorat et de l'éducation Célestin Freinet - site de Nice, George V","master mention métiers de l'enseignement, de l'éducation et de la formation - pratiques et ingénierie de la formation",FR,master,other,38,5,0,5,0,33,13.16,13.16
4a661ec4-3204-577f-b885-e6da8380ee72,scorecard-us-stage1-059,University of South Carolina-Columbia,University of South Carolina-Columbia Computer Science,US,master,computer science,38,0,0,0,1,37,0.0,0.0
4a6dc990-011c-5b1c-8192-72159ff410fc,onisep-fr-stage1-002,Campus de Lyon 3 à Bourg-en-Bresse,licence mention histoire,FR,bachelor,other,38,5,0,5,0,33,13.16,13.16
4a9021aa-f3af-55a8-8ef4-e09679ad8362,duo-nl-stage1-013,Stichting Avans,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
4ad2f980-a73a-550f-99a5-4406ab815326,duo-nl-stage1-001,Het College van Bestuur van de Vrije Universiteit,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
4b97f4cd-5258-5b1a-9465-44df2172443c,scorecard-us-stage1-023,Pacific Islands University,Pacific Islands University Engineering,US,bachelor,engineering,38,0,0,0,1,37,0.0,0.0
4bc4287b-b630-55b7-bebb-1505a023ea61,onisep-fr-stage1-010,IUT Clermont Auvergne - site de Moulins,"BUT techniques de commercialisation parcours marketing digital, e-business et entrepreneuriat",FR,bachelor,other,38,5,0,5,0,33,13.16,13.16
4c35dae7-87c2-5354-824b-be18661a1765,onisep-fr-stage1-013,IUT Clermont Auvergne - site de Montluçon,BUT génie électrique et informatique industrielle parcours électricité et maîtrise de l'énergie,FR,bachelor,computer science,38,5,0,5,0,33,13.16,13.16
4cedbd6a-eda3-5e11-ad37-9bdcf3746650,onisep-fr-stage1-027,IUT Nice Côte d'Azur - Site de Cannes,BUT information-communication parcours journalisme,FR,bachelor,computer science,38,5,0,5,0,33,13.16,13.16
4da6f840-9e62-5e39-a2b7-ebc0aea392ef,onisep-fr-stage1-026,"Institut national supérieur du professorat et de l'éducation Célestin Freinet - site de Nice, George V",master mention enseignement et éducation - professorat du second degré,FR,master,other,38,5,0,5,0,33,13.16,13.16
4e617a0f-c536-5347-956b-ba2cf24bc507,onisep-fr-stage1-012,UFR Sciences et techniques des activités physiques et sportives - Antenne de Vichy,licence mention sciences et techniques des activités physiques et sportives activité physique adaptée et santé,FR,bachelor,other,38,5,0,5,0,33,13.16,13.16
4ec2cb38-ac8f-597c-857d-18eabf99649b,cambridge-uk-canary,University of Cambridge,Computer Science,UK,bachelor,computer science,38,5,0,5,2,31,13.16,13.16
50ac7d32-64ec-5136-8102-3e0f193cf67c,scorecard-us-stage1-025,Brigham Young University-Hawaii,Brigham Young University-Hawaii Engineering,US,bachelor,engineering,38,0,0,0,1,37,0.0,0.0
50fe911a-2903-5e60-9dc9-bc5c30c5f6d0,scorecard-us-stage1-019,Florida International University,Florida International University Computer Science,US,master,computer science,38,0,0,0,1,37,0.0,0.0
51008e77-c0f0-545f-aa70-38f531ed5337,centrale-lille-fr-canary,Centrale Lille Institut,Master mecanique,FR,master,other,38,5,0,5,0,33,13.16,13.16
51f64407-43b6-518e-9c3d-a29a3be59067,scorecard-us-stage1-043,Mississippi State University,Mississippi State University Engineering,US,bachelor,engineering,38,0,1,1,0,37,0.0,2.63
52ed182b-e33d-5595-9e88-fe534b52acb9,tue-nl-canary,Technische Universiteit Eindhoven,Sustainable Energy Technology,NL,master,other,38,4,0,4,0,34,10.53,10.53
53d43333-eb2b-52f7-8878-fe937d68feb3,scorecard-us-stage1-017,University of Delaware,University of Delaware Computer Science,US,master,computer science,38,0,0,0,1,37,0.0,0.0
540f7923-29e4-5dfe-82f8-6352fce8a128,scorecard-us-stage1-070,University of Wyoming,University of Wyoming Computer Science,US,master,computer science,38,0,0,0,1,37,0.0,0.0
546f63d0-1d09-592f-baec-3c564b05a6a3,onisep-fr-stage1-033,École universitaire de recherche en droit et science politique - Faculté de droit et science politique - Campus Trotabas,master mention droit des affaires,FR,master,other,38,5,0,5,0,33,13.16,13.16
54c2e161-5cef-5800-91c0-513c3761ce5c,duo-nl-stage1-009,Stiching Breda University of Applied Sciences,Datastore Search,NL,,,38,0,0,0,0,38,0.0,0.0
