programme_id,institution_id,institution_name,programme_name,country,degree_level,discipline,total_priority_fields,direct_field_count,hierarchical_added_field_count,effective_field_count,review_field_count,missing_field_count,completion_before_hierarchy_pct,completion_after_hierarchy_pct
2936099d-411e-5963-8c62-27be8bb17202,onisep-fr-stage1-017,Institut d'administration des entreprises - Campus Saint-Jean d'Angely,master mention management et commerce international,FR,master,business,38,6,0,6,0,32,15.79,15.79
2a4fb7c5-f257-555a-84c5-2a23d72e611b,discover-uk-stage1-015,BLACKPOOL AND THE FYLDE COLLEGE,Engineering (Automotive Engineering),UK,bachelor,engineering,38,8,4,12,0,26,21.05,31.58
2a72840d-c750-5afa-8adf-d8b51e4abe33,erasmus-nl-canary,Erasmus Universiteit Rotterdam,Business Administration,NL,bachelor,other,38,2,0,2,0,36,5.26,5.26
2b10d957-eb9b-5583-b2bb-fc1c741a300b,discover-uk-stage1-018,Bournemouth University,Accounting,UK,bachelor,other,38,8,2,8,0,30,21.05,21.05
2bd8d0f8-2222-53ab-96c6-cdf12dfdca2d,onisep-fr-stage1-018,IUT Nice Côte d'Azur - site de Nice,BUT gestion des entreprises et des administrations parcours gestion et pilotage des ressources humaines,FR,bachelor,business,38,5,0,5,0,33,13.16,13.16
2c43e758-e2c2-51e2-9e80-0c3581520de9,duo-nl-stage1-003,Open Universiteit Nederland,HBO - Rechten,NL,bachelor,other,38,0,2,2,0,36,0.0,5.26
2c644259-28c5-5925-847b-588891b7f7bf,duo-nl-stage1-018,Stichting Driestar educatief,Educational Theory,NL,bachelor,other,38,0,2,2,0,36,0.0,5.26
2d63a989-f592-52d3-9a35-1cab15b8fafe,uva-nl-canary,Universiteit van Amsterdam,Informatica,NL,bachelor,computer science,38,6,2,8,0,30,15.79,21.05
2eaaaaff-8813-58c6-870f-7eb32c37f6a6,onisep-fr-stage1-029,École universitaire de recherche arts et humanités - Campus Georges Méliès,licence mention humanités,FR,bachelor,other,38,6,0,6,0,32,15.79,15.79
2f22ab26-e9a8-53fb-a260-26252a231af8,onisep-fr-stage1-004,Institut supérieur des sciences et techniques,master mention informatique,FR,master,computer science,38,6,0,6,0,32,15.79,15.79
31096360-54d5-509d-82d0-8e262fdbe4eb,onisep-fr-stage1-032,École universitaire de recherche en écosystèmes des sciences de la santé - Campus STAPS,master mention sciences et techniques des activités physiques et sportives : management du sport,FR,master,other,38,6,0,6,0,32,15.79,15.79
339349f1-ea76-5178-8eb9-8401fbcf9143,discover-uk-stage1-015,BLACKPOOL AND THE FYLDE COLLEGE,Engineering (Robotics and Automation Engineering),UK,bachelor,engineering,38,8,5,12,0,26,21.05,31.58
363052cb-99e3-5cb4-bfc4-512e4dc078a2,cambridge-uk-canary,University of Cambridge,Natural Sciences,UK,bachelor,computer science,38,7,2,8,0,30,18.42,21.05
36d5084e-2c73-5fb5-b94e-abfed22c61eb,onisep-fr-stage1-038,Institut national supérieur du professorat et de l'éducation - site de Charleville-Mézières,licence mention professorat des écoles,FR,bachelor,other,38,6,0,6,0,32,15.79,15.79
394c7037-53ca-5124-b1cb-c347f2f3c5a9,onisep-fr-stage1-009,Institut national supérieur du professorat et de l'éducation Clermont-Auvergne - site de Moulins,licence mention professorat des écoles,FR,bachelor,other,38,6,1,7,0,31,15.79,18.42
3a574afc-69e2-5f98-8d89-a358555d61bb,discover-uk-stage1-022,Bristol Baptist College,"Theology, Ministry and Mission",UK,bachelor,other,38,6,5,6,0,32,15.79,15.79
3de52a35-3c2d-58bb-9e06-01d688b47671,discover-uk-stage1-016,Boston College,Leadership & Management,UK,bachelor,business,38,10,5,13,0,25,26.32,34.21
3e73f74a-32b2-5791-bced-eab789f0add1,onisep-fr-stage1-025,CESI école d'ingénieurs - campus de Nice,diplôme d'ingénieur du CESI,FR,master,engineering,38,6,1,7,0,31,15.79,18.42
3fc9f03e-164a-5b94-a37c-d9730e54d91d,duo-nl-stage1-016,Stichting 'De Kempel',Education in Primary Schools (age 4 - 12),NL,bachelor,other,38,3,5,5,0,33,7.89,13.16
409ba547-8457-53c7-8e77-3dbe46e84b34,duo-nl-stage1-003,Open Universiteit Nederland,Psychology,NL,master,other,38,0,2,2,0,36,0.0,5.26
415292e8-d52b-5e24-be5c-5c56f6284005,duo-nl-stage1-013,Stichting Avans,Master Materials & Energy Transition,NL,master,other,38,3,5,5,0,33,7.89,13.16
4312df08-cb0e-538a-b9ed-4e0d7e864ff9,discover-uk-stage1-019,Bradford College,Primary Education Early Years 5-11 (QTS),UK,bachelor,other,38,6,0,6,0,32,15.79,15.79
43850490-0520-5cca-b9a2-0b1b84156049,discover-uk-stage1-011,University College Birmingham,Airport And Aviation Management,UK,bachelor,business,38,8,2,8,0,30,21.05,21.05
45389133-b30b-5620-a1f1-132881ea6575,bristol-uk-canary,University of Bristol,Data Science,UK,bachelor,data science,38,12,5,13,0,25,31.58,34.21
45d0488c-fd77-5761-bf4b-e68dc9328b6f,oxford-uk-canary,Oxford University,Computer Science (3 or 4 years),UK,bachelor,computer science,38,6,1,7,0,31,15.79,18.42
45df12ed-0f4c-5ef7-a071-4092b34a4e20,duo-nl-stage1-005,Rijksuniversiteit Groningen,Dutch Language and Culture,NL,bachelor,other,38,0,2,2,0,36,0.0,5.26
462f1e03-d780-59e6-beb8-c14fa8fe5279,duo-nl-stage1-008,Stg. Kaht. Opleiding Leraren in het Basisonderwijs,Master Leiderschap en Innovatie Kind en Educatie,NL,master,other,38,0,2,2,0,36,0.0,5.26
465d4536-96e4-5b55-8c3e-80a1e8013b76,discover-uk-stage1-007,Askham Bryan College,Equine Science and Management (including Foundation year),UK,bachelor,business,38,8,1,9,0,29,21.05,23.68
49412a9b-8bd2-5754-979e-aacdc24e93ad,ens-paris-saclay-fr-canary,Ecole normale superieure Paris-Saclay,Master mention biologie-sante,FR,master,other,38,5,0,5,0,33,13.16,13.16
49ca4019-1bf2-5b5c-983d-1c96b71efea6,onisep-fr-stage1-026,"Institut national supérieur du professorat et de l'éducation Célestin Freinet - site de Nice, George V","master mention métiers de l'enseignement, de l'éducation et de la formation - pratiques et ingénierie de la formation",FR,master,other,38,6,0,6,0,32,15.79,15.79
4a6dc990-011c-5b1c-8192-72159ff410fc,onisep-fr-stage1-002,Campus de Lyon 3 à Bourg-en-Bresse,licence mention histoire,FR,bachelor,other,38,6,0,6,0,32,15.79,15.79
4bc4287b-b630-55b7-bebb-1505a023ea61,onisep-fr-stage1-010,IUT Clermont Auvergne - site de Moulins,"BUT techniques de commercialisation parcours marketing digital, e-business et entrepreneuriat",FR,bachelor,other,38,6,0,6,0,32,15.79,15.79
4c35dae7-87c2-5354-824b-be18661a1765,onisep-fr-stage1-013,IUT Clermont Auvergne - site de Montluçon,BUT génie électrique et informatique industrielle parcours électricité et maîtrise de l'énergie,FR,bachelor,computer science,38,6,0,6,0,32,15.79,15.79
4cedbd6a-eda3-5e11-ad37-9bdcf3746650,onisep-fr-stage1-027,IUT Nice Côte d'Azur - Site de Cannes,BUT information-communication parcours journalisme,FR,bachelor,computer science,38,5,0,5,0,33,13.16,13.16
4da6f840-9e62-5e39-a2b7-ebc0aea392ef,onisep-fr-stage1-026,"Institut national supérieur du professorat et de l'éducation Célestin Freinet - site de Nice, George V",master mention enseignement et éducation - professorat du second degré,FR,master,other,38,6,1,6,0,32,15.79,15.79
4e617a0f-c536-5347-956b-ba2cf24bc507,onisep-fr-stage1-012,UFR Sciences et techniques des activités physiques et sportives - Antenne de Vichy,licence mention sciences et techniques des activités physiques et sportives activité physique adaptée et santé,FR,bachelor,other,38,6,0,6,0,32,15.79,15.79
4ec2cb38-ac8f-597c-857d-18eabf99649b,cambridge-uk-canary,University of Cambridge,Computer Science,UK,bachelor,computer science,38,6,1,7,0,31,15.79,18.42
4f08a8ee-9519-5882-b92e-3c373e740e6f,duo-nl-stage1-014,Stichting Christel. Hogesch. Windesheim,Teacher Education in Social Skills,NL,bachelor,other,38,0,2,2,0,36,0.0,5.26
51008e77-c0f0-545f-aa70-38f531ed5337,centrale-lille-fr-canary,Centrale Lille Institut,Master mecanique,FR,master,other,38,6,1,6,0,32,15.79,15.79
52ed182b-e33d-5595-9e88-fe534b52acb9,tue-nl-canary,Technische Universiteit Eindhoven,Sustainable Energy Technology,NL,master,other,38,5,0,5,0,33,13.16,13.16
546f63d0-1d09-592f-baec-3c564b05a6a3,onisep-fr-stage1-033,École universitaire de recherche en droit et science politique - Faculté de droit et science politique - Campus Trotabas,master mention droit des affaires,FR,master,other,38,6,0,6,0,32,15.79,15.79
57418cd2-9e28-5de8-9bc6-055f88d3b8bb,kings-uk-canary,King's College London,Computer Science,UK,bachelor,computer science,38,9,7,9,0,29,23.68,23.68
58644168-c523-558b-b4e2-52647103bbd0,onisep-fr-stage1-039,IUT de Charleville,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,FR,bachelor,business,38,6,0,6,0,32,15.79,15.79
5899253a-cf94-5a60-ae1a-dd8d5638d45c,discover-uk-stage1-022,Bristol Baptist College,"Theology, Ministry and Mission",UK,bachelor,other,38,6,0,6,0,32,15.79,15.79
59c87f4f-e9fb-59a9-9c0c-ef57d23132d5,onisep-fr-stage1-037,École universitaire de recherche en sciences fondamentales et Ingénierie - Campus Plaine du Var - Écovallée,master mention physique fondamentale et applications,FR,master,other,38,6,0,6,0,32,15.79,15.79
5d6d82c7-4eae-5e59-850c-4fdc44bc1b9e,onisep-fr-stage1-022,"Campus Carlone Lettres, Arts et Sciences humaines",licence mention histoire,FR,bachelor,other,38,6,0,6,0,32,15.79,15.79
5dcb3d22-21b0-523b-b1aa-27093fb8036a,discover-uk-stage1-011,University College Birmingham,Aesthetics,UK,bachelor,other,38,8,0,8,0,30,21.05,21.05
5dea6883-31fe-5808-9ee8-0775b57792ae,onisep-fr-stage1-004,Institut supérieur des sciences et techniques,master mention génie industriel,FR,master,other,38,6,0,6,0,32,15.79,15.79
5ea7c52c-13d6-5946-aee3-0eeaa2cc3104,duo-nl-stage1-010,Sticht. A'damse Hogeschool voor de Kunsten,Film and Television,NL,bachelor,other,38,0,2,2,0,36,0.0,5.26
5f7e4503-b034-5260-913a-5110ed0982b6,discover-uk-stage1-025,Buckinghamshire New University,Acting for Stage and Screen,UK,bachelor,other,38,4,2,6,0,32,10.53,15.79
5f95f3f8-7afc-52a6-ba5b-e4f49c98267b,discover-uk-stage1-020,University Centre Somerset College Group,"Makeup Artistry, Prosthetic FX and Wig Making",UK,bachelor,other,38,6,1,7,0,31,15.79,18.42
5fb6c708-c086-5214-9871-88a376d13fda,onisep-fr-stage1-016,IUT d'Aix-Marseille - site de Gap,"BUT gestion des entreprises et des administrations parcours gestion comptable, fiscale et financière",FR,bachelor,business,38,6,0,6,0,32,15.79,15.79
60e2e546-beec-559f-8803-ff7d234c1959,discover-uk-stage1-003,All Nations Christian College,Biblical and Intercultural Studies,UK,bachelor,other,38,7,0,7,0,31,18.42,18.42
626e1529-04bc-5ccd-be3e-78268b0a4e35,wageningen-nl-canary,Wageningen University,Business and Consumer Studies,NL,bachelor,other,38,6,0,6,0,32,15.79,15.79
