institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count
Stichting Hanzehogeschool Groningen,Information & Communication Technology,NL,bachelor,computer science,duo-nl-stage1-020,dad83581-5867-589c-8f07-e4c03f446443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Stichting Hanzehogeschool Groningen,International Business,NL,bachelor,business,duo-nl-stage1-020,26d3736c-53d6-5adb-827f-b3995a88d3a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,38,0.0,0,0
Technische Universiteit Eindhoven,Embedded Systems,NL,master,other,tue-nl-canary,776f8c66-f129-5d3a-a7f8-7a91c0a7f9bd,Embedded Systems,MASTER,,,VOLTIJD,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,34,10.53,1,0
Technische Universiteit Eindhoven,Sustainable Energy Technology,NL,master,other,tue-nl-canary,52ed182b-e33d-5595-9e88-fe534b52acb9,Sustainable Energy Technology,MASTER,,,VOLTIJD,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,34,10.53,1,0
The Arts University Bournemouth,Acting,UK,bachelor,other,discover-uk-stage1-006,16aed716-240d-5ae8-854a-52d1ecc51b49,BA (Hons) Acting,BA (Hons),3 year course,Arts University Bournemouth,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""artistic_literary_and_media_occupations"": 30, ""business_and_public_service_associate_professionals"": 10, ""data_period"": ""students graduating 2021-23"", ""elementary_occupations"": 10, ""in_highly_skilled_work"": 50, ""in_other_work"": 30, ""in_unknown_work"": 20, ""leisure_travel_and_related_personal_service_occupations"": 5, ""metric"": ""occupation_types_15_months_after_course"", ""process_plant_and_machine_operatives"": 5, ""sales_occupations"": 10, ""source"": ""Graduate Outcomes survey"", ""teaching_professionals"": 5, ""welfare_and_housing_associate_professionals"": 5}",,6,0,6,31,15.79,1,0
The Arts University Bournemouth,Acting for Screen,UK,bachelor,other,discover-uk-stage1-006,1494bc65-9315-5198-a797-81202c1520c0,BA (Hons) Acting for Screen,BA (Hons),3 year course,Arts University Bournemouth,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""artistic_literary_and_media_occupations"": 30, ""business_and_public_service_associate_professionals"": 10, ""data_period"": ""students graduating 2021-23"", ""elementary_occupations"": 10, ""in_highly_skilled_work"": 50, ""in_other_work"": 30, ""in_unknown_work"": 20, ""leisure_travel_and_related_personal_service_occupations"": 5, ""metric"": ""occupation_types_15_months_after_course"", ""process_plant_and_machine_operatives"": 5, ""sales_occupations"": 10, ""source"": ""Graduate Outcomes survey"", ""teaching_professionals"": 5, ""welfare_and_housing_associate_professionals"": 5}",,5,1,6,31,15.79,2,1
The Bournemouth and Poole College,Digital Animation Design & Production,UK,bachelor,other,discover-uk-stage1-017,770f992a-7c1a-5b5c-82ad-f900668b7f1e,Digital Animation Design & Production,FDA,2 year course,Bournemouth and Poole College,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
The Bournemouth and Poole College,"Esports Production, Broadcasting and Events",UK,bachelor,other,discover-uk-stage1-017,baa1b317-ba51-5fac-af2c-4aa258d131a2,"Esports Production, Broadcasting and Events",FDA,2 year course,Bournemouth and Poole College,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
The University of Edinburgh,Computer Science,UK,bachelor,computer science,edinburgh-uk-canary,814d8802-d69b-59c9-808a-b733ffe17579,Computer Science,BEng (Hons),4 year course,Central,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,31,13.16,1,0
The University of Edinburgh,Computer Science,UK,bachelor,computer science,edinburgh-uk-canary,9e56967c-c215-5e0b-ba38-018d61a6a991,Computer Science,BEng (Hons),4 year course,Central,Full time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""metric"": ""graduate_perception"", ""percentage"": 90, ""period"": ""15 months after the course"", ""population"": ""Computer science graduates at University of Edinburgh"", ""statement"": ""My current work is meaningful.""}",,0,6,6,32,15.79,1,6
