institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count
Haaga-Helia University of Applied Sciences,International Business,FI,bachelor,business,haaga-helia-fi-canary,ee43edae-4df6-560b-b1fb-fe25f1cc0350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Required educational certificates,,,,,,,0,1,1,37,2.63,1,1
University of Eastern Finland,Data Engineering,FI,bachelor,computer science,uef-fi-canary,67ef7389-04ec-5e55-94cc-49456ef74cb3,,,,,,,,,,,,,,,Eligibility: Applicants subject to tuition fees; Applicants subject to tuition fees can apply for tuition waivers and scholarships during the university application process by completing the relevant section on the application form.,,,,,,6.0,,TOEFL iBT (minimum overall score 78),,SAT - required - SAT scores listed as required application document; SAT-based admission available for refugees,"Joint Application to Higher Education, Spring 2026",,,,,,,,,,SAT scores,,,,,,,6,0,6,30,15.79,2,0
University of Eastern Finland,Information Technology,FI,bachelor,computer science,uef-fi-canary,c4ca6963-813a-5121-a844-b24e4ffc1097,,,,,,,,,,,,,,,Eligibility: Applicants subject to tuition fees; Cycle: 2026-2027; Applicants subject to tuition fees can apply for tuition waivers and scholarships during the university application process by completing the relevant section on the application form.,,,,,,6.0,,TOEFL iBT (minimum overall score 78),,,"Joint Application to Higher Education, Spring 2026",,,,,,,,,,Certificates,,,,,,,5,0,5,31,13.16,2,0
"Campus Carlone Lettres, Arts et Sciences humaines",licence mention histoire,FR,bachelor,other,onisep-fr-stage1-022,5d6d82c7-4eae-5e59-850c-4fdc44bc1b9e,licence mention histoire,licence,3 ans,Nice,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
"Campus Carlone Lettres, Arts et Sciences humaines","licence mention langues, littératures et civilisations étrangères et régionales",FR,bachelor,other,onisep-fr-stage1-022,19e02a28-bc70-55c1-9b7d-cac9d5fb648e,"licence mention langues, littératures et civilisations étrangères et régionales",licence,3 ans,Nice,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Campus de Lyon 3 à Bourg-en-Bresse,licence mention gestion,FR,bachelor,business,onisep-fr-stage1-002,222ba9b3-65ca-53ac-bc73-7957fd61353f,licence mention gestion,licence,3 ans,Bourg-en-Bresse,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Campus de Lyon 3 à Bourg-en-Bresse,licence mention histoire,FR,bachelor,other,onisep-fr-stage1-002,4a6dc990-011c-5b1c-8192-72159ff410fc,licence mention histoire,licence,3 ans,Bourg-en-Bresse,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Centrale Lille Institut,Master mecanique,FR,master,other,centrale-lille-fr-canary,51008e77-c0f0-545f-aa70-38f531ed5337,master mention mécanique,master,2 ans,Villeneuve-d'Ascq,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
Centrale Lille Institut,Master sciences des donnees,FR,master,other,centrale-lille-fr-canary,8e8f2126-460d-5840-b1e8-d4144fbd4007,master mention sciences des données,master,2 ans,Villeneuve-d'Ascq,"temps plein, cours en présentiel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,33,13.16,1,0
CESI école d'ingénieurs - campus de Nice,diplôme d'ingénieur du CESI,FR,master,engineering,onisep-fr-stage1-025,3e73f74a-32b2-5791-bced-eab789f0add1,diplôme d'ingénieur du CESI,diplôme d'ingénieur,3 ans,Nice,"temps plein, cours en présentiel (3 ans CI généraliste)",,,,EUR 8500 / year,programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,31,15.79,1,0
