programme_id,programme_name,institution_id,field_name,value_json,resolution_level,scope,donor_entity,donor_name,source_url,source_hash,raw_document_id,provider,source_authority,source_relationship,uncertainty,provenance,original_status,is_new
eab1fd00-32ca-5cd9-81cb-b1cd97519540,BUT réseaux et télécommunications parcours cybersécurité,onisep-fr-stage1-020,career_outcomes,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
eab1fd00-32ca-5cd9-81cb-b1cd97519540,BUT réseaux et télécommunications parcours cybersécurité,onisep-fr-stage1-020,employment_outcomes,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,programme_identity,BUT réseaux et télécommunications parcours internet des objets et mobilité,H0,programme,b2e631c1-b970-54ea-be38-4a8e3378752a,target programme,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,,d7e6fd88-4663-4f33-9442-cd255040b5e3,onisep_higher_ed,,,0,Existing strict or hierarchy replay value.,DIRECT_ACCEPTED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,credential,bachelor universitaire de technologie,H0,programme,b2e631c1-b970-54ea-be38-4a8e3378752a,target programme,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,,d7e6fd88-4663-4f33-9442-cd255040b5e3,onisep_higher_ed,,,0,Existing strict or hierarchy replay value.,DIRECT_ACCEPTED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,duration,3 ans,H0,programme,b2e631c1-b970-54ea-be38-4a8e3378752a,target programme,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,,d7e6fd88-4663-4f33-9442-cd255040b5e3,onisep_higher_ed,,,0,Existing strict or hierarchy replay value.,DIRECT_ACCEPTED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,location,Valbonne,H0,programme,b2e631c1-b970-54ea-be38-4a8e3378752a,target programme,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,,d7e6fd88-4663-4f33-9442-cd255040b5e3,onisep_higher_ed,,,0,Existing strict or hierarchy replay value.,DIRECT_ACCEPTED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,delivery_mode,"temps plein, cours en présentiel",H0,programme,b2e631c1-b970-54ea-be38-4a8e3378752a,target programme,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,,d7e6fd88-4663-4f33-9442-cd255040b5e3,onisep_higher_ed,,,0,Existing strict or hierarchy replay value.,DIRECT_ACCEPTED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,programme_language,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,programme_status,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,MISSING,0
b2e631c1-b970-54ea-be38-4a8e3378752a,BUT réseaux et télécommunications parcours internet des objets et mobilité,onisep-fr-stage1-020,academic_cycle,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,MISSING,0
